name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count
BBC,0.02432,0.00010,0.00064,0.00966,0.00864,0.00145,0.00080,6
Fox News,0.03739,0.00010,0.00077,0.00365,0.01832,0.00305,0.00689,6
Newsmax,0.03234,0.00024,0.00145,0.01137,0.00913,0.00483,0.00035,6
The Washington Times,0.01212,0.00006,0.00034,0.00317,0.00441,0.00027,0.00014,6
The New York Times,0.02588,0.00008,0.00056,0.00115,0.01023,0.00071,0.00831,6
New York Post,0.09183,0.00024,0.01482,0.00428,0.01860,0.00607,0.02245,6
Associated Press,0.02515,0.00008,0.00056,0.00805,0.00495,0.00195,0.00163,6
NBC News,0.03825,0.00013,0.00061,0.02049,0.00751,0.00179,0.00248,6
Newsweek,0.02070,0.00010,0.00082,0.00515,0.00510,0.00280,0.00080,6
One America News Network (OAN),0.03085,0.00007,0.00061,0.00106,0.02061,0.00245,0.00013,5
Reuters,0.00560,0.00004,0.00034,0.00047,0.00139,0.00057,0.00007,5
The Epoch Times,0.00893,0.00017,0.00124,0.00075,0.00198,0.00022,0.00450,5
The Guardian (US),0.02936,0.00013,0.00697,0.00523,0.00928,0.00105,0.00154,5
The Hill,0.00790,0.00003,0.00023,0.00184,0.00209,0.00015,0.00006,5
The Wall Street Journal,0.00103,0.00005,0.00037,0.00023,0.00051,0.00009,0.00004,5
Washington Examiner,0.04479,0.00008,0.00273,0.00385,0.02662,0.00295,0.00104,5
The Washington Post,0.01351,0.00006,0.00038,0.00229,0.00570,0.00148,0.00016,5
