name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count
BBC,0.01970,0.00018,0.00180,0.00307,0.00676,0.00242,0.00167,14.77,44.29,40.94,71
Fox News,0.02836,0.00012,0.00215,0.00388,0.00773,0.00253,0.00458,15.56,37.0,47.44,89
NBC News,0.03390,0.00017,0.00109,0.01701,0.00620,0.00197,0.00343,14.45,34.35,51.2,90
New York Post,0.06290,0.00041,0.01142,0.00480,0.02139,0.00350,0.01403,16.14,30.42,53.44,89
Newsmax,0.01758,0.00015,0.00089,0.00457,0.00357,0.00332,0.00088,4.339,47.37,48.29,90
Newsweek,0.01890,0.00013,0.00098,0.00176,0.00856,0.00190,0.00114,8.898,50.05,41.06,26
One America News Network (OAN),0.01446,0.00014,0.00120,0.00250,0.00316,0.00089,0.00353,12.42,49.74,37.84,88
Reuters,0.01319,0.00009,0.00167,0.00429,0.00161,0.00111,0.00084,7.794,40.37,51.83,86
The Epoch Times,0.00972,0.00012,0.00090,0.00230,0.00286,0.00079,0.00114,8.258,55.89,35.86,90
The Hill,0.02741,0.00009,0.00160,0.00268,0.01293,0.00250,0.00263,6.143,38.67,55.18,90
The New York Times,0.01997,0.00011,0.00082,0.00316,0.00733,0.00179,0.00122,11.92,50.7,37.38,46
The Wall Street Journal,0.00689,0.00006,0.00052,0.00110,0.00194,0.00082,0.00074,14.17,58.12,27.71,90
The Washington Post,0.01714,0.00022,0.00270,0.00383,0.00467,0.00050,0.00519,10.58,44.44,44.97,4
The Washington Times,0.02654,0.00010,0.00074,0.00579,0.01010,0.00233,0.00188,9.056,46.39,44.56,90
Washington Examiner,0.02521,0.00009,0.00142,0.00464,0.01116,0.00161,0.00158,7.652,38.54,53.8,89
