name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count
Associated Press,0.02004,0.00011,0.00077,0.00557,0.00396,0.00226,0.00355,11.99,41.01,47.01,512
BBC,0.02270,0.00014,0.00120,0.00408,0.00757,0.00295,0.00284,15.04,45.56,39.4,514
Fox News,0.02216,0.00010,0.00180,0.00313,0.00820,0.00160,0.00260,14.95,40.42,44.63,508
NBC News,0.03396,0.00017,0.00100,0.01722,0.00575,0.00226,0.00321,9.977,35.43,54.59,514
New York Post,0.05793,0.00028,0.00832,0.00423,0.01957,0.00393,0.01351,17.85,30.03,52.12,517
Newsmax,0.02069,0.00013,0.00114,0.00418,0.00648,0.00292,0.00163,4.218,48.57,47.21,509
Newsweek,0.02661,0.00014,0.00219,0.00445,0.00843,0.00285,0.00265,8.279,45.23,46.49,519
One America News Network (OAN),0.01137,0.00011,0.00125,0.00189,0.00334,0.00148,0.00133,11.39,50.76,37.85,518
Reuters,0.01154,0.00008,0.00068,0.00264,0.00214,0.00141,0.00140,11.97,42.51,45.52,499
The Epoch Times,0.00897,0.00018,0.00132,0.00183,0.00270,0.00105,0.00129,11.12,54.35,34.53,515
The Guardian (US),0.03390,0.00019,0.00235,0.00606,0.01102,0.00257,0.00676,12.8,34.22,52.97,519
The Hill,0.01812,0.00006,0.00103,0.00313,0.00705,0.00183,0.00101,6.254,45.88,47.86,514
The New York Times,0.01913,0.00013,0.00115,0.00370,0.00632,0.00197,0.00183,11.04,52.71,36.24,515
The Wall Street Journal,0.00607,0.00008,0.00069,0.00105,0.00213,0.00064,0.00055,13.32,60.45,26.23,515
The Washington Post,0.02144,0.00009,0.00087,0.00460,0.00737,0.00176,0.00241,15.42,39.03,45.55,516
The Washington Times,0.02192,0.00009,0.00124,0.00640,0.00630,0.00161,0.00184,9.913,37.15,52.93,512
Washington Examiner,0.02661,0.00010,0.00186,0.00443,0.01073,0.00260,0.00176,6.902,39.4,53.69,515
