name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.02066,0.00014,0.00060,0.00641,0.00133,0.00458,0.00031,49,2022/07/10
BBC,0.02400,0.00013,0.00103,0.00418,0.01162,0.00268,0.00052,53,2022/07/10
Fox News,0.01533,0.00008,0.00087,0.00113,0.00677,0.00076,0.00081,170,2022/07/10
NBC News,0.01820,0.00007,0.00037,0.00182,0.00207,0.00459,0.00027,61,2022/07/10
New York Post,0.04597,0.00013,0.00491,0.00132,0.00585,0.00503,0.00731,42,2022/07/10
Newsmax,0.01290,0.00007,0.00394,0.00084,0.00371,0.00047,0.00012,38,2022/07/10
Newsweek,0.02834,0.00029,0.00359,0.00082,0.00482,0.00327,0.01283,75,2022/07/10
One America News Network (OAN),0.00091,0.00010,0.00090,0.00022,0.00090,0.00010,0.00007,28,2022/07/10
Reuters,0.01561,0.00007,0.00043,0.00118,0.00134,0.00486,0.00012,37,2022/07/10
The Epoch Times,0.00786,0.00025,0.00142,0.00063,0.00235,0.00112,0.00121,95,2022/07/10
The Guardian (US),0.04670,0.00015,0.00810,0.00360,0.01798,0.00063,0.00975,91,2022/07/10
The Hill,0.02676,0.00004,0.00028,0.00100,0.02156,0.00016,0.00010,45,2022/07/10
The New York Times,0.01813,0.00016,0.00108,0.00146,0.00420,0.00179,0.00078,68,2022/07/10
The Wall Street Journal,0.00093,0.00005,0.00041,0.00020,0.00051,0.00008,0.00004,65,2022/07/10
The Washington Post,0.03054,0.00006,0.00090,0.00133,0.02358,0.00022,0.00018,107,2022/07/10
The Washington Times,0.01891,0.00007,0.00042,0.00533,0.00172,0.00079,0.00163,42,2022/07/10
Washington Examiner,0.02008,0.00006,0.00037,0.00294,0.00403,0.00513,0.00062,65,2022/07/10
