name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
BBC,0.00799,0.00010,0.00077,0.00054,0.00134,0.00175,0.00048,16.67,35.42,47.92,48,2023/09/02
Fox News,0.04534,0.00022,0.00766,0.00254,0.01176,0.00202,0.01217,13.19,40.97,45.83,144,2023/09/02
NBC News,0.02071,0.00014,0.00068,0.01137,0.00201,0.00118,0.00050,11.76,41.18,47.06,68,2023/09/02
New York Post,0.07140,0.00014,0.00529,0.00087,0.02187,0.00100,0.01810,26.09,30.43,43.48,46,2023/09/02
Newsmax,0.01253,0.00015,0.00101,0.00092,0.00137,0.00148,0.00423,8.0,40.0,52.0,50,2023/09/02
Newsweek,0.00853,0.00012,0.00087,0.00068,0.00158,0.00131,0.00263,11.39,51.9,36.71,79,2023/09/02
One America News Network (OAN),0.03425,0.00005,0.00051,0.01597,0.00703,0.00031,0.00038,13.04,43.48,43.48,23,2023/09/02
Reuters,0.01295,0.00032,0.00061,0.00994,0.00106,0.00068,0.00063,10.0,10.0,80.0,10,2023/09/02
The Epoch Times,0.01582,0.00010,0.00278,0.00109,0.00502,0.00033,0.00374,10.89,49.5,39.6,202,2023/09/02
The Hill,0.01612,0.00011,0.00073,0.00078,0.00391,0.00462,0.00047,12.2,31.71,56.1,41,2023/09/02
The New York Times,0.01490,0.00008,0.00066,0.00246,0.00532,0.00067,0.00110,20.41,48.98,30.61,49,2023/09/02
The Wall Street Journal,0.01322,0.00009,0.00080,0.00080,0.00802,0.00030,0.00012,16.92,60.0,23.08,65,2023/09/02
The Washington Post,0.01586,0.00013,0.00059,0.00224,0.00808,0.00060,0.00044,22.11,41.05,36.84,95,2023/09/02
The Washington Times,0.04940,0.00013,0.01079,0.00044,0.03426,0.00443,0.00086,7.317,47.56,45.12,82,2023/09/02
Washington Examiner,0.01203,0.00004,0.00040,0.00039,0.00312,0.00122,0.00017,5.085,45.76,49.15,59,2023/09/02
