BBC,en,https://bbc.com,//h3[@class='media__title' and a],a,47
Fox News,en,https://foxnews.com,//article//h3[a],a,125
Newsmax,en,https://newsmax.com,//div[@id='nmCanvas1Headline']//h1 | //div[@id='nmLeadStoryContent']/div[@id='nmleadStoryHead']/h2[a] | //div[@class='nmNewsfrontT ' or @class='nmleadStoryHead']//h2[a],a,50
The Washington Times,en,https://washingtontimes.com,//div[@class='homeholding']//article/h2/a,.,46
The New York Times,en,https://www.nytimes.com/,"//section[contains(@class, 'story-wrapper')]//h3[contains(@class, 'indicate-hover')]",ancestor::a,67
New York Post,en,https://nypost.com/,"//h2[contains(@class, 'story__headline')][a]",a,38
Associated Press,en,https://apnews.com/,"//div[@class='Body']//a[contains(@class, 'headline')]/h2 | //article[@class='cards']//h3",ancestor::a,45
NBC News,en,https://www.nbcnews.com/,"//div[@class='tease-card__info']//*[self::h2 or self::h3]/a | //*[contains(@class, 'styles_headline') and (self::h2 or self::h3)]/a",.,67
Newsweek,en,https://www.newsweek.com/,"//article//*[self::h1 or self::h3 or self::h4 or self::li]/a | //div[@class='title' or @class='info']/a",.,102
One America News Network (OAN),en,https://www.oann.com/,//div[@class='site']//h2/a[@title],.,28
Reuters,en,https://www.reuters.com/,"//a[@data-testid='Heading' and not(span)] | //a[@data-testid='Heading']/span[not(@style)]","self::a | parent::a",49
The Epoch Times,en,https://www.theepochtimes.com/,"//a/*[contains(@class,'title') and not(ancestor::*[contains(@class, 'live_video') or contains(@class, 'games')])]",parent::a,97
The Guardian (US),en,https://www.theguardian.com/us,"//a[contains(@class, 'js-headline-text')]",.,92
The Hill,en,https://thehill.com/,"//div[contains(@class, 'content')]/h1[contains(@class, 'headline') and not(@data-module-type='thehill-video')]/a[@href] | //ul[@data-module-type='more-news']/li/a[@href] | //ol[@data-module-type='most-popular']/li/a[@href]",.,39
The Wall Street Journal,en,https://www.wsj.com/,"//div[contains(@class, '-headline-')]//*[contains(@class, 'headlineText') and not(./span)] | //div[contains(@class, '-headline-')]//*[contains(@class, 'headlineText')]/span[not(contains(@class, 'time-to-read'))]",ancestor::a,66
Washington Examiner,en,https://www.washingtonexaminer.com/,"//*[(self::div or self::h1 or self::h2 or self::h4 or self::h5 or self::h6) and contains(@class, 'title')]/a",.,62
The Washington Post,en,https://www.washingtonpost.com/,"//h2[contains(@class, 'headline')]/a/span",parent::a,98
